ID,Type,TestQuery,PandaDB isSupport
s-1,create,"CREATE (n),(m)",
s-2,create,"CREATE (friend:Person {name: 'Mark'})
RETURN friend",
s-3,create,"MATCH (jennifer:Person {name: 'Jennifer'})
MATCH (mark:Person {name: 'Mark'})
CREATE (jennifer)-[rel:IS_FRIENDS_WITH]->(mark)",
s-4,create,CREATE (p:Person)-[:LIKES]->(t:Technology),
s-5,create,CREATE CONSTRAINT ON (n:Person) ASSERT n.name IS UNIQUE;,
s-6,create,"MATCH (a:Person),(b:Person)
WHERE a.name = 'A' AND b.name = 'B'
CREATE (a)-[r:RELTYPE { name: a.name + '<->' + b.name }]->(b)
RETURN type(r), r.name",
s-7,create,"CREATE p =(andy { name:'Andy' })-[:WORKS_AT]->(neo)<-[:WORKS_AT]-(michael { name: 'Michael' })
RETURN p",
s-8,MATCH,match (n:t2) return n,
s-9,MATCH,match (n:person:t1) return n,
s-10,MATCH,match (n) where n.name='bluejoe' return n,
s-11,MATCH,"match (m)-[r]->(n) return m,r,n",
s-12,MATCH,match (n)-[r]-(m) return distinct r,
s-13,MATCH,return 1 as N,
s-14,MATCH,return 1,
s-15,MATCH,"MATCH (jenn:Person {name: 'Jennifer'})
RETURN jenn",
s-16,MATCH,"MATCH (:Person {name: 'Jennifer'})-[:WORKS_FOR]->(company:Company)
RETURN company",
s-17,MATCH,"MATCH (:Person {name: 'Jennifer'})-[:WORKS_FOR]->(company:Company)
RETURN company.name",
s-18,MATCH,"MATCH (kristen:Customer {name:'Kristen'})-[rel:PURCHASED]-(order:Order)
RETURN order.orderId, order.orderDate, kristen.customerIdNo, order.orderTotalNoOfItems",
s-19,MATCH,"MATCH (kristen:Customer {name:'Kristen'})-[rel:PURCHASED]-(order:Order)
RETURN order.orderId AS OrderID, order.orderDate AS `Purchase Date`,
       kristen.customerIdNo AS CustomerID, order.orderNumOfLineItems AS `Number Of Items`",
s-20,update,"MATCH (p:Person {name: 'Jennifer'})
SET p.birthdate = date('1980-01-01')
RETURN p",
s-21,update,"MATCH (:Person {name: 'Jennifer'})-[rel:WORKS_FOR]-(:Company {name: 'Neo4j'})
SET rel.startYear = date({year: 2018})
RETURN rel",
s-22,delete,"MATCH (j:Person {name: 'Jennifer'})-[r:IS_FRIENDS_WITH]->(m:Person {name: 'Mark'})
DELETE r",
s-23,delete,"MATCH (m:Person {name: 'Mark'})
DELETE m",
s-24,delete,"MATCH (m:Person {name: 'Mark'})
DETACH DELETE m",
s-25,delete,"MATCH (n:Person {name: 'Jennifer'})
REMOVE n.birthdate",
s-26,delete,"MATCH (n:Person {name: 'Jennifer'})
SET n.birthdate = null",
s-27,merge,"MERGE (mark:Person {name: 'Mark'})
RETURN mark",
