REL_ID:IGNORE|:TYPE|creationDate:Date|:START_ID|:END_ID
0|hasTag|2012-08-31|801030792151564|400000000000139
2|hasTag|2012-08-31|801030792151564|400000000003022
3|hasTag|2012-08-31|801030792151564|400000000005097
4|hasTag|2012-08-31|801030792151564|400000000006993
5|hasTag|2012-08-31|801030792151564|400000000007557
7|hasTag|2012-08-31|801030792151564|400000000010571
9|hasTag|2012-09-01|801030792151567|400000000001771
10|hasTag|2012-09-01|801030792151567|400000000001984
12|hasTag|2012-09-01|801030792151567|400000000007079
13|hasTag|2012-09-01|801030792151567|400000000011745
15|hasTag|2012-09-01|801030792151569|400000000005058
16|hasTag|2012-09-01|801030792151569|400000000007405
18|hasTag|2012-09-01|801030792151572|400000000003047
20|hasTag|2012-09-01|801030792151572|400000000005699
22|hasTag|2012-09-01|801030792151572|400000000014856
23|hasTag|2012-09-01|801030792151572|400000000015190
27|hasTag|2012-08-23|801030792151576|400000000003064
30|hasTag|2012-08-23|801030792151576|400000000007683
33|hasTag|2012-08-24|801030792151578|400000000000139
37|hasTag|2012-08-24|801030792151578|400000000004901
39|hasTag|2012-08-24|801030792151579|400000000007683
42|hasTag|2012-08-24|801030792151579|400000000010864
45|hasTag|2012-08-24|801030792151582|400000000000139
47|hasTag|2012-08-24|801030792151582|400000000004901
50|hasTag|2012-08-24|801030792151582|400000000009613
52|hasTag|2012-08-24|801030792151583|400000000012224
58|hasTag|2012-08-24|801030792151587|400000000002930
64|hasTag|2012-08-24|801030792151587|400000000004901
68|hasTag|2012-08-24|801030792151588|400000000007526
73|hasTag|2012-07-02|800962072674858|400000000000139
75|hasTag|2012-07-02|800962072674858|400000000003086
78|hasTag|2012-07-02|800962072674858|400000000003087
82|hasTag|2012-07-02|800962072674858|400000000005542
86|hasTag|2012-07-02|800962072674858|400000000006754
90|hasTag|2012-07-02|800962072674860|400000000000775
115|hasTag|2012-07-02|800962072674860|400000000001170
119|hasTag|2012-07-02|800962072674860|400000000002819
122|hasTag|2012-07-02|800962072674860|400000000002845
128|hasTag|2012-07-02|800962072674861|400000000000139
130|hasTag|2012-07-02|800962072674861|400000000003086
134|hasTag|2012-07-02|800962072674861|400000000006550
138|hasTag|2012-07-02|800962072674861|400000000006754
142|hasTag|2012-07-02|800962072674861|400000000012410
146|hasTag|2012-07-02|800962072674861|400000000013136
150|hasTag|2012-07-02|800962072674866|400000000002819
154|hasTag|2012-07-02|800962072674866|400000000007567
158|hasTag|2012-07-02|800962072674866|400000000009293
161|hasTag|2012-07-02|800962072674867|400000000002819
165|hasTag|2012-07-02|800962072674867|400000000009289
169|hasTag|2012-07-02|800962072674867|400000000013221
172|hasTag|2012-07-02|800962072674868|400000000000139
175|hasTag|2012-07-02|800962072674868|400000000005289
178|hasTag|2012-07-02|800962072674868|400000000006754
182|hasTag|2012-07-02|800962072674868|400000000007510
185|hasTag|2012-07-02|800962072674868|400000000012410
190|hasTag|2012-07-02|800962072674868|400000000013136
192|hasTag|2012-07-02|800962072674868|400000000013816
196|hasTag|2012-07-02|800962072674870|400000000002893
198|hasTag|2012-07-02|800962072674870|400000000005076
202|hasTag|2012-07-17|801030792152545|400000000000461
208|hasTag|2012-07-17|801030792152545|400000000009302
210|hasTag|2012-07-17|801030792152547|400000000007555
219|hasTag|2012-07-17|801030792152549|400000000000461
222|hasTag|2012-07-17|801030792152549|400000000015377
226|hasTag|2011-10-17|800687194768873|400000000001410
229|hasTag|2011-10-17|800687194768873|400000000002880
234|hasTag|2011-10-17|800687194768873|400000000002896
237|hasTag|2011-10-17|800687194768873|400000000002963
241|hasTag|2011-10-17|800687194768873|400000000002997
243|hasTag|2011-10-17|800687194768873|400000000005147
247|hasTag|2011-10-17|800687194768873|400000000005291
250|hasTag|2011-10-17|800687194768873|400000000006399
253|hasTag|2011-10-17|800687194768873|400000000009147
256|hasTag|2011-10-17|800687194768873|400000000009709
260|hasTag|2011-10-16|800687194768874|400000000001194
277|hasTag|2011-10-16|800687194768874|400000000002896
281|hasTag|2011-10-16|800687194768874|400000000005147
285|hasTag|2011-10-16|800687194768874|400000000007020
288|hasTag|2011-10-16|800687194768874|400000000009742
292|hasTag|2011-10-16|800687194768874|400000000013322
294|hasTag|2011-10-16|800687194768875|400000000001410
298|hasTag|2011-10-16|800687194768875|400000000002896
302|hasTag|2011-10-16|800687194768875|400000000002898
307|hasTag|2011-10-16|800687194768875|400000000003009
310|hasTag|2011-10-16|800687194768875|400000000003066
316|hasTag|2011-10-16|800687194768875|400000000004849
319|hasTag|2011-10-16|800687194768875|400000000005147
323|hasTag|2011-10-16|800687194768875|400000000005291
329|hasTag|2011-10-16|800687194768875|400000000006399
332|hasTag|2011-10-16|800687194768875|400000000009306
335|hasTag|2011-10-16|800687194768880|400000000000561
339|hasTag|2011-10-16|800687194768880|400000000001410
343|hasTag|2011-10-16|800687194768880|400000000002896
346|hasTag|2011-10-16|800687194768880|400000000010133
348|hasTag|2011-10-16|800687194768880|400000000011331
352|hasTag|2011-10-16|800687194768880|400000000011774
357|hasTag|2011-10-17|800687194768882|400000000001410
361|hasTag|2011-10-17|800687194768882|400000000002896
363|hasTag|2011-10-17|800687194768882|400000000006406
366|hasTag|2011-10-17|800687194768882|400000000007365
369|hasTag|2011-10-17|800687194768882|400000000009844
371|hasTag|2011-10-17|800687194768882|400000000011331
375|hasTag|2011-10-17|800687194768882|400000000011774
377|hasTag|2012-07-08|800962072675839|400000000003029
379|hasTag|2012-07-08|800962072675839|400000000013535
382|hasTag|2012-07-08|800962072675844|400000000003029
386|hasTag|2012-07-08|800962072675844|400000000010874
389|hasTag|2012-07-08|800962072675844|400000000013535
392|hasTag|2012-08-28|801030792152582|400000000000132
394|hasTag|2012-08-28|801030792152582|400000000000806
398|hasTag|2012-08-28|801030792152582|400000000007519
401|hasTag|2012-08-28|801030792152582|400000000009121
403|hasTag|2012-08-28|801030792152585|400000000000806
407|hasTag|2012-08-28|801030792152585|400000000002843
408|hasTag|2012-08-28|801030792152585|400000000005066
412|hasTag|2012-08-29|801030792152586|400000000000571
415|hasTag|2012-08-29|801030792152586|400000000000806
418|hasTag|2012-08-29|801030792152586|400000000000812
420|hasTag|2012-08-29|801030792152586|400000000009121
421|hasTag|2012-08-28|801030792152589|400000000001684
424|hasTag|2012-08-28|801030792152589|400000000002843
425|hasTag|2012-08-28|801030792152589|400000000009036
427|hasTag|2012-06-13|800962072675858|400000000000595
429|hasTag|2012-06-13|800962072675858|400000000001749
431|hasTag|2012-06-13|800962072675858|400000000003092
432|hasTag|2012-06-13|800962072675858|400000000005163
461|hasTag|2012-06-13|800962072675861|400000000000595
465|hasTag|2012-06-13|800962072675861|400000000001749
468|hasTag|2012-06-13|800962072675861|400000000002073
470|hasTag|2012-06-13|800962072675861|400000000003092
474|hasTag|2012-06-13|800962072675861|400000000005163
475|hasTag|2012-06-13|800962072675861|400000000012249
478|hasTag|2012-06-13|800962072675864|400000000001749
481|hasTag|2012-06-13|800962072675864|400000000002065
483|hasTag|2012-06-13|800962072675864|400000000002073
486|hasTag|2012-06-13|800962072675864|400000000009104
490|hasTag|2012-06-13|800962072675864|400000000011679
493|hasTag|2012-08-24|801030792152805|400000000000139
497|hasTag|2012-08-24|801030792152805|400000000002002
499|hasTag|2012-08-24|801030792152805|400000000005190
503|hasTag|2012-08-24|801030792152805|400000000006274
507|hasTag|2012-08-24|801030792152805|400000000009090
509|hasTag|2012-08-24|801030792152811|400000000001545
512|hasTag|2012-08-24|801030792152811|400000000002002
516|hasTag|2012-08-24|801030792152811|400000000005190
518|hasTag|2012-08-24|801030792152811|400000000005869
521|hasTag|2012-08-24|801030792152811|400000000014332
525|hasTag|2011-08-18|800618475292939|400000000000000
528|hasTag|2011-08-18|800618475292939|400000000001863
530|hasTag|2011-08-18|800618475292939|400000000002788
534|hasTag|2011-08-18|800618475292939|400000000002950
537|hasTag|2011-08-19|800618475292941|400000000002788
539|hasTag|2011-08-19|800618475292941|400000000007603
543|hasTag|2011-08-19|800618475292941|400000000009269
547|hasTag|2011-11-13|800755914246421|400000000000000
549|hasTag|2011-11-13|800755914246421|400000000012097
553|hasTag|2011-11-14|800755914246422|400000000000000
554|hasTag|2011-11-14|800755914246422|400000000012543
558|hasTag|2012-07-17|801030792153370|400000000002786
560|hasTag|2012-07-17|801030792153370|400000000013942
563|hasTag|2011-10-07|800687194769695|400000000002027
565|hasTag|2011-10-07|800687194769695|400000000002897
569|hasTag|2011-10-07|800687194769695|400000000005152
571|hasTag|2011-10-07|800687194769695|400000000005258
574|hasTag|2011-10-07|800687194769695|400000000005459
578|hasTag|2011-10-07|800687194769695|400000000006899
580|hasTag|2011-10-07|800687194769695|400000000007717
583|hasTag|2011-10-07|800687194769695|400000000008535
588|hasTag|2011-10-07|800687194769695|400000000009930
590|hasTag|2011-10-07|800687194769695|400000000014429
594|hasTag|2011-10-08|800687194769697|400000000001979
598|hasTag|2011-10-08|800687194769697|400000000001992
600|hasTag|2011-10-08|800687194769697|400000000005258
