REL_ID:IGNORE|:TYPE|creationDate:Date|:START_ID|:END_ID
1713|hasModerator|2011-10-06|600687194767360|221990232555526
1724|hasModerator|2012-05-29|600962072674305|221990232555526
1733|hasModerator|2012-07-29|601030792151042|221990232555526
1743|hasModerator|2012-06-05|600962072674307|221990232555526
1814|hasModerator|2011-10-06|600687194767364|221990232555526
1827|hasModerator|2012-03-05|600824633720838|221990232555526
1839|hasModerator|2012-01-27|600824633720840|221990232555526
1847|hasModerator|2012-04-12|600893353197579|221990232555526
1856|hasModerator|2012-05-13|600962072674316|221990232555526
1861|hasModerator|2012-04-06|600893353197581|221990232555526
1868|hasModerator|2012-04-05|600893353197583|221990232555526
1876|hasModerator|2010-04-18|600068719476752|202199023255573
1882|hasModerator|2011-04-14|600481036337170|215393162788899
1888|hasModerator|2010-01-31|600000000000019|200000000000016
1896|hasModerator|2010-07-12|600206158430228|200000000000016
1898|hasModerator|2010-12-01|600343597383701|200000000000016
1906|hasModerator|2011-03-04|600412316860438|200000000000016
1914|hasModerator|2011-05-28|600549755813911|200000000000016
1925|hasModerator|2011-10-18|600687194767384|200000000000016
1936|hasModerator|2010-11-29|600343597383706|200000000000016
1947|hasModerator|2011-04-16|600481036337179|200000000000016
1958|hasModerator|2012-02-23|600824633720860|200000000000016
1970|hasModerator|2011-07-30|600618475290653|200000000000016
1981|hasModerator|2010-04-15|600068719476766|200000000000016
1995|hasModerator|2010-06-24|600137438953503|200000000000016
2006|hasModerator|2010-12-22|600343597383712|200000000000016
2018|hasModerator|2010-05-11|600137438953505|200000000000016
2028|hasModerator|2011-05-23|600549755813922|200000000000016
2043|hasModerator|2012-01-20|600824633720867|200000000000016
2052|hasModerator|2012-03-17|600893353197604|200000000000016
2065|hasModerator|2011-03-30|600481036337189|200000000000016
2076|hasModerator|2011-12-11|600755914244134|200000000000016
2088|hasModerator|2012-08-03|601030792151079|200000000000016
2109|hasModerator|2012-04-22|600893353197608|200000000000016
2122|hasModerator|2011-07-10|600618475290665|200000000000016
2135|hasModerator|2012-08-29|601030792151082|200000000000016
2146|hasModerator|2012-09-08|601030792151083|200000000000016
2160|hasModerator|2011-08-09|600618475290668|200000000000016
2171|hasModerator|2011-03-13|600481036337197|200000000000016
2184|hasModerator|2010-06-22|600137438953518|200000000000016
2200|hasModerator|2010-11-14|600343597383727|200000000000016
2220|hasModerator|2010-12-25|600343597383728|200000000000016
2238|hasModerator|2010-05-15|600137438953521|200000000000016
2254|hasModerator|2010-06-27|600137438953522|200000000000016
2269|hasModerator|2011-03-31|600481036337203|200000000000016
2289|hasModerator|2011-01-28|600412316860468|200000000000016
2308|hasModerator|2011-10-29|600687194767413|200000000000016
2325|hasModerator|2011-08-22|600618475290678|200000000000016
2339|hasModerator|2012-03-30|600893353197623|228587302322180
2355|hasModerator|2012-07-30|601030792151096|228587302322180
2368|hasModerator|2012-06-28|600962072674361|228587302322180
2382|hasModerator|2012-08-14|601030792151099|228587302322180
2399|hasModerator|2012-07-06|600962072674364|228587302322180
2415|hasModerator|2012-06-19|600962072674365|228587302322180
2427|hasModerator|2012-07-26|601030792151102|228587302322180
2440|hasModerator|2012-05-28|600962072674367|228587302322180
2459|hasModerator|2010-01-19|600000000000065|200000000000027
2469|hasModerator|2012-06-08|600962072674370|200000000000027
2487|hasModerator|2011-05-16|600549755813955|200000000000027
2503|hasModerator|2010-05-09|600137438953541|200000000000027
2510|hasModerator|2012-01-08|600824633720902|200000000000027
2530|hasModerator|2010-03-02|600000000000071|200000000000027
2548|hasModerator|2011-03-24|600481036337225|200000000000027
2568|hasModerator|2011-06-25|600549755813963|200000000000027
2588|hasModerator|2011-12-16|600755914244172|200000000000027
2604|hasModerator|2010-12-24|600343597383757|200000000000027
2615|hasModerator|2012-03-22|600893353197646|200000000000027
2644|hasModerator|2012-01-21|600824633720911|200000000000027
2653|hasModerator|2011-04-09|600481036337232|200000000000027
2672|hasModerator|2012-07-18|601030792151121|200000000000027
2691|hasModerator|2011-04-25|600481036337234|200000000000027
2710|hasModerator|2010-07-01|600137438953555|200000000000027
2729|hasModerator|2010-09-08|600274877907028|200000000000027
2748|hasModerator|2011-12-24|600755914244181|200000000000027
2784|hasModerator|2010-04-18|600068719476822|200000000000027
2802|hasModerator|2010-07-28|600206158430295|200000000000027
2825|hasModerator|2011-12-18|600755914244184|200000000000027
2845|hasModerator|2011-04-11|600481036337241|200000000000027
2883|hasModerator|2011-09-05|600618475290714|200000000000027
2901|hasModerator|2011-11-30|600755914244187|200000000000027
2925|hasModerator|2011-03-01|600412316860508|200000000000027
2945|hasModerator|2010-04-07|600068719476829|200000000000027
2968|hasModerator|2010-05-08|600137438953566|200000000000027
3006|hasModerator|2011-04-18|600481036337248|200000000000027
3031|hasModerator|2011-11-14|600755914244193|200000000000027
3047|hasModerator|2012-07-20|601030792151138|200000000000027
3070|hasModerator|2012-02-23|600824633720931|200000000000027
3094|hasModerator|2010-10-28|600274877907045|208796093022238
3117|hasModerator|2010-12-30|600343597383782|208796093022238
3141|hasModerator|2012-03-01|600824633720936|208796093022238
3165|hasModerator|2012-06-06|600962072674409|208796093022238
3187|hasModerator|2011-11-19|600755914244203|208796093022238
3207|hasModerator|2011-10-11|600687194767470|208796093022238
3225|hasModerator|2012-01-05|600755914244207|208796093022238
3252|hasModerator|2011-04-08|600481036337264|208796093022238
3274|hasModerator|2011-05-11|600549755814001|208796093022238
3294|hasModerator|2012-02-13|600824633720946|208796093022238
3327|hasModerator|2011-04-21|600481036337267|208796093022238
3345|hasModerator|2011-02-26|600412316860532|208796093022238
3369|hasModerator|2012-08-19|601030792151157|208796093022238
3386|hasModerator|2011-07-26|600618475290742|208796093022238
3406|hasModerator|2012-05-10|600962072674423|208796093022238
3427|hasModerator|2011-12-17|600755914244216|208796093022238
3444|hasModerator|2011-09-06|600618475290745|208796093022238
3466|hasModerator|2011-07-13|600618475290746|208796093022238
3487|hasModerator|2011-02-06|600412316860539|208796093022238
3511|hasModerator|2012-05-24|600962072674428|208796093022238
3538|hasModerator|2011-09-05|600618475290750|208796093022238
3560|hasModerator|2010-12-03|600343597383807|208796093022238
3578|hasModerator|2010-11-21|600343597383809|210995116277783
3600|hasModerator|2011-02-18|600412316860546|210995116277783
3622|hasModerator|2011-04-24|600481036337283|210995116277783
3649|hasModerator|2012-04-24|600893353197700|210995116277783
3680|hasModerator|2011-08-03|600618475290757|210995116277783
3700|hasModerator|2012-07-18|601030792151174|210995116277783
3721|hasModerator|2011-10-13|600687194767495|210995116277783
3743|hasModerator|2011-11-15|600755914244233|210995116277783
3769|hasModerator|2011-04-11|600481036337290|210995116277783
3789|hasModerator|2012-07-19|601030792151179|210995116277783
3817|hasModerator|2011-10-17|600687194767500|210995116277783
3839|hasModerator|2011-03-11|600481036337293|210995116277783
3863|hasModerator|2011-07-11|600618475290767|210995116277783
3882|hasModerator|2011-08-30|600618475290768|210995116277783
3899|hasModerator|2011-11-17|600755914244241|210995116277783
3921|hasModerator|2012-06-05|600962072674450|210995116277783
3943|hasModerator|2010-12-26|600343597383827|210995116277783
3966|hasModerator|2011-02-17|600412316860564|210995116277783
3992|hasModerator|2011-08-12|600618475290773|210995116277783
4015|hasModerator|2012-06-21|600962072674454|210995116277783
4032|hasModerator|2011-12-10|600755914244247|210995116277783
4055|hasModerator|2010-12-25|600343597383832|210995116277783
4075|hasModerator|2011-07-02|600549755814041|210995116277783
4100|hasModerator|2010-11-13|600343597383835|210995116277761
4120|hasModerator|2011-07-19|600618475290780|219791209299997
4141|hasModerator|2010-03-24|600068719476894|202199023255557
4160|hasModerator|2012-08-08|601030792151199|232985348833319
4177|hasModerator|2012-01-12|600824633720994|226388279066641
4199|hasModerator|2011-12-29|600755914244259|224189255811081
4223|hasModerator|2011-08-04|600618475290788|219791209299987
4240|hasModerator|2012-03-09|600893353197733|219791209299987
4257|hasModerator|2012-05-21|600962072674470|219791209299987
4276|hasModerator|2012-02-08|600824633720999|219791209299987
4298|hasModerator|2011-11-19|600755914244264|219791209299987
4321|hasModerator|2012-08-06|601030792151210|219791209299987
4347|hasModerator|2011-08-22|600618475290795|219791209299987
4364|hasModerator|2012-06-12|600962072674476|219791209299987
4381|hasModerator|2012-07-14|601030792151213|219791209299987
