REL_ID:IGNORE|:TYPE|creationDate:Date|:START_ID|:END_ID
1539|hasTag|2011-10-06|600687194767360|400000000000006
1559|hasTag|2011-10-06|600687194767360|400000000000587
1570|hasTag|2011-10-06|600687194767360|400000000000588
1576|hasTag|2011-10-06|600687194767360|400000000000782
1585|hasTag|2011-10-06|600687194767360|400000000001153
1602|hasTag|2011-10-06|600687194767360|400000000001173
1610|hasTag|2011-10-06|600687194767360|400000000001179
1617|hasTag|2011-10-06|600687194767360|400000000001180
1628|hasTag|2011-10-06|600687194767360|400000000001187
1636|hasTag|2011-10-06|600687194767360|400000000001193
1645|hasTag|2011-10-06|600687194767360|400000000001206
1656|hasTag|2011-10-06|600687194767360|400000000001454
1676|hasTag|2011-10-06|600687194767360|400000000001545
1683|hasTag|2011-10-06|600687194767360|400000000001760
1696|hasTag|2011-10-06|600687194767360|400000000001762
1708|hasTag|2011-10-06|600687194767360|400000000001863
1722|hasTag|2011-10-06|600687194767360|400000000001940
1745|hasTag|2011-10-06|600687194767360|400000000002031
1758|hasTag|2011-10-06|600687194767360|400000000002048
1771|hasTag|2011-10-06|600687194767360|400000000002067
1782|hasTag|2011-10-06|600687194767360|400000000005132
1796|hasTag|2011-10-06|600687194767360|400000000006413
1808|hasTag|2011-10-06|600687194767360|400000000006945
1818|hasTag|2011-10-06|600687194767360|400000000009063
1832|hasTag|2011-10-06|600687194767360|400000000009479
1912|hasTag|2011-10-06|600687194767360|400000000011250
1933|hasTag|2011-10-06|600687194767360|400000000011379
1951|hasTag|2012-05-29|600962072674305|400000000005132
1985|hasTag|2012-07-29|601030792151042|400000000001187
2014|hasTag|2012-06-05|600962072674307|400000000001863
2030|hasTag|2011-10-06|600687194767364|400000000001180
2061|hasTag|2012-03-05|600824633720838|400000000002067
2092|hasTag|2012-01-27|600824633720840|400000000001545
2105|hasTag|2012-04-12|600893353197579|400000000011379
2123|hasTag|2012-05-13|600962072674316|400000000002048
2138|hasTag|2012-04-06|600893353197581|400000000001762
2162|hasTag|2012-04-05|600893353197583|400000000002048
2174|hasTag|2010-04-18|600068719476752|400000000000003
