REL_ID:IGNORE|:TYPE|creationDate:Date|:START_ID|:END_ID
1657|isLocatedIn|2011-08-21|219791209300010|500000000000966
1668|isLocatedIn|2012-01-10|226388279066632|500000000000958
1675|isLocatedIn|2012-01-12|226388279066641|500000000001226
1685|isLocatedIn|2010-11-13|210995116277761|500000000001147
1693|isLocatedIn|2010-01-03|200000000000014|500000000001166
1703|isLocatedIn|2010-01-31|200000000000016|500000000001284
1716|isLocatedIn|2010-06-22|204398046511148|500000000000841
1730|isLocatedIn|2011-04-14|215393162788899|500000000000786
1739|isLocatedIn|2012-01-13|226388279066650|500000000000125
1752|isLocatedIn|2011-10-06|221990232555526|500000000000411
1762|isLocatedIn|2011-10-17|221990232555527|500000000000339
1774|isLocatedIn|2010-01-19|200000000000027|500000000001282
1783|isLocatedIn|2011-03-07|215393162788910|500000000000750
1794|isLocatedIn|2010-12-24|210995116277782|500000000000699
1804|isLocatedIn|2011-04-14|215393162788912|500000000001249
1815|isLocatedIn|2010-01-19|200000000000033|500000000000969
1825|isLocatedIn|2010-11-21|210995116277783|500000000000877
1836|isLocatedIn|2012-02-20|226388279066664|500000000000588
1848|isLocatedIn|2012-09-05|232985348833291|500000000000350
1857|isLocatedIn|2010-01-09|200000000000047|500000000001356
1865|isLocatedIn|2012-03-30|228587302322180|500000000000554
1872|isLocatedIn|2010-03-24|202199023255557|500000000001014
1881|isLocatedIn|2012-08-08|232985348833319|500000000000858
1891|isLocatedIn|2012-03-19|228587302322191|500000000000426
1900|isLocatedIn|2012-03-13|228587302322196|500000000000531
1909|isLocatedIn|2010-08-31|206597069766699|500000000000148
1922|isLocatedIn|2010-07-11|206597069766701|500000000001264
1939|isLocatedIn|2010-04-18|202199023255573|500000000000779
1950|isLocatedIn|2012-03-17|228587302322210|500000000000972
1964|isLocatedIn|2011-12-29|224189255811081|500000000000510
1972|isLocatedIn|2011-02-28|213194139533343|500000000000605
1983|isLocatedIn|2011-07-26|219791209299968|500000000000285
1998|isLocatedIn|2012-01-02|224189255811104|500000000000737
2008|isLocatedIn|2012-07-03|230786325577731|500000000000866
2022|isLocatedIn|2011-08-04|219791209299987|500000000001452
2037|isLocatedIn|2010-10-28|208796093022238|500000000001369
2053|isLocatedIn|2012-06-26|230786325577740|500000000001073
2068|isLocatedIn|2011-11-27|224189255811121|500000000000144
2081|isLocatedIn|2011-07-19|219791209299997|500000000000452
2096|isLocatedIn|2011-03-12|215393162788877|500000000001410
2104|isLocatedIn|2011-08-22|219791209300009|500000000000185
