REL_ID:IGNORE|:TYPE|creationDate:Date|:START_ID|:END_ID
1837|knows|2011-08-21|219791209300010|224189255811104
1916|knows|2011-08-21|219791209300010|224189255811121
1931|knows|2011-08-21|219791209300010|226388279066641
1943|knows|2011-08-21|219791209300010|226388279066664
1955|knows|2011-08-21|219791209300010|228587302322180
1979|knows|2011-08-21|219791209300010|228587302322196
1993|knows|2011-08-21|219791209300010|228587302322210
2007|knows|2012-01-12|226388279066641|226388279066664
2057|knows|2012-01-12|226388279066641|228587302322180
2090|knows|2010-11-13|210995116277761|213194139533343
2106|knows|2010-11-13|210995116277761|219791209300010
2119|knows|2010-11-13|210995116277761|228587302322210
2136|knows|2010-01-03|200000000000014|204398046511148
2161|knows|2010-01-31|200000000000016|213194139533343
2172|knows|2010-01-31|200000000000016|219791209300010
2192|knows|2010-01-31|200000000000016|226388279066664
2205|knows|2010-01-31|200000000000016|228587302322180
2224|knows|2010-06-22|204398046511148|219791209300010
2235|knows|2010-06-22|204398046511148|224189255811081
2247|knows|2010-06-22|204398046511148|228587302322180
2259|knows|2011-10-17|221990232555527|224189255811081
2274|knows|2010-01-19|200000000000027|210995116277761
2283|knows|2010-01-19|200000000000027|228587302322180
2299|knows|2011-03-07|215393162788910|228587302322210
2312|knows|2010-12-24|210995116277782|226388279066664
2337|knows|2010-12-24|210995116277782|228587302322210
2354|knows|2012-02-20|226388279066664|228587302322180
2375|knows|2012-02-20|226388279066664|228587302322210
2388|knows|2010-01-09|200000000000047|228587302322180
2403|knows|2012-03-30|228587302322180|230786325577731
2436|knows|2010-03-24|202199023255557|206597069766699
2448|knows|2010-03-24|202199023255557|224189255811081
2479|knows|2010-08-31|206597069766699|219791209300009
2500|knows|2010-08-31|206597069766699|224189255811081
2511|knows|2010-08-31|206597069766699|224189255811121
2540|knows|2010-07-11|206597069766701|219791209300010
2564|knows|2010-07-11|206597069766701|228587302322210
2584|knows|2010-04-18|202199023255573|206597069766699
2621|knows|2011-12-29|224189255811081|228587302322180
2635|knows|2011-12-29|224189255811081|228587302322196
2669|knows|2011-02-28|213194139533343|228587302322180
2690|knows|2011-02-28|213194139533343|228587302322210
2706|knows|2011-07-26|219791209299968|219791209300009
2724|knows|2011-07-26|219791209299968|224189255811081
2743|knows|2012-01-02|224189255811104|226388279066664
2762|knows|2011-08-04|219791209299987|226388279066664
2767|knows|2010-10-28|208796093022238|219791209300010
2777|knows|2010-10-28|208796093022238|224189255811081
2793|knows|2011-07-19|219791209299997|224189255811081
2807|knows|2011-03-12|215393162788877|219791209300010
2828|knows|2011-08-22|219791209300009|224189255811081
2847|knows|2011-08-22|219791209300009|228587302322180
