REL_ID:IGNORE|:TYPE|creationDate:Date|:START_ID|:END_ID
1445|likes|2012-09-04|206597069766699|801030792152589
1448|likes|2012-06-18|219791209299968|800962072675864
1450|likes|2012-06-17|219791209299997|800962072675864
1452|likes|2012-06-15|219791209300009|800962072675864
1454|likes|2012-06-17|219791209300010|800962072675864
1457|likes|2012-06-14|221990232555527|800962072675864
1459|likes|2012-06-19|228587302322180|800962072675864
1460|likes|2012-06-14|228587302322196|800962072675864
1462|likes|2011-08-20|202199023255573|800618475292941
1463|likes|2011-10-13|202199023255557|800687194769711
1466|likes|2011-10-09|202199023255573|800687194769711
1469|likes|2011-10-13|219791209300009|800687194769711
1470|likes|2011-09-23|200000000000016|800687194769756
1477|likes|2012-02-08|224189255811081|800824633723343
1480|likes|2012-02-13|215393162788899|800824633723343
1485|likes|2012-02-10|219791209299987|800824633723343
1490|likes|2012-02-11|219791209299997|800824633723343
1495|likes|2012-02-11|215393162788877|800824633723343
1502|likes|2012-02-12|219791209299968|800824633723343
1505|likes|2012-02-11|210995116277782|800824633723343
1510|likes|2012-02-13|210995116277761|800824633723343
1514|likes|2012-02-08|224189255811104|800824633723343
1520|likes|2012-02-11|215393162788910|800824633723343
1526|likes|2012-02-12|204398046511148|800824633723343
1530|likes|2012-02-14|210995116277783|800824633723343
1534|likes|2012-02-09|202199023255573|800824633723343
1540|likes|2012-02-14|200000000000033|800824633723343
1544|likes|2012-02-12|226388279066632|800824633723343
1550|likes|2012-02-13|215393162788912|800824633723343
1555|likes|2012-02-12|200000000000027|800824633723343
1561|likes|2012-02-10|206597069766701|800824633723343
1568|likes|2012-02-12|206597069766699|800824633723343
1575|likes|2012-02-13|224189255811121|800824633723343
1583|likes|2012-02-07|208796093022238|800824633723343
1592|likes|2012-02-09|200000000000016|800824633723343
1612|likes|2012-02-07|226388279066641|800824633723343
1620|likes|2012-02-11|202199023255557|800824633723343
1626|likes|2012-02-08|200000000000047|800824633723343
1634|likes|2012-02-07|219791209300009|800824633723343
1642|likes|2012-02-07|219791209300010|800824633723343
1650|likes|2012-02-14|213194139533343|800824633723343
1659|likes|2012-02-13|221990232555527|800824633723343
1666|likes|2012-02-09|226388279066650|800824633723343
1673|likes|2012-02-10|221990232555526|800824633723343
1681|likes|2012-02-12|200000000000014|800824633723343
1690|likes|2012-07-27|210995116277782|801030792153579
1700|likes|2012-07-13|200000000000033|800962072676979
1710|likes|2012-04-30|228587302322180|800893353200419
1721|likes|2012-04-28|228587302322210|800893353200428
1729|likes|2012-08-13|202199023255573|801030792154040
1740|likes|2012-07-25|230786325577731|801030792154054
1749|likes|2012-07-25|224189255811121|801030792154059
1760|likes|2012-07-25|221990232555527|801030792154059
1767|likes|2012-07-24|215393162788877|801030792154059
1779|likes|2012-07-20|228587302322210|801030792154059
1789|likes|2012-07-26|215393162788899|801030792154059
1798|likes|2012-07-26|210995116277783|801030792154059
1809|likes|2012-07-23|228587302322196|801030792154059
1817|likes|2012-07-27|215393162788899|801030792154063
1826|likes|2012-07-18|221990232555527|801030792154144
1834|likes|2012-07-22|215393162788877|801030792154144
1844|likes|2012-07-19|228587302322210|801030792154144
1855|likes|2012-08-13|228587302322180|801030792154157
1863|likes|2012-08-10|200000000000033|801030792154157
1870|likes|2012-08-09|210995116277782|801030792154157
1877|likes|2012-08-13|226388279066664|801030792154157
1885|likes|2012-08-11|228587302322191|801030792154157
1892|likes|2012-08-12|202199023255573|801030792154157
1902|likes|2012-08-12|219791209299987|801030792154157
1913|likes|2012-08-13|221990232555526|801030792154157
1924|likes|2012-08-08|230786325577740|801030792154157
1940|likes|2012-08-12|215393162788912|801030792154157
1954|likes|2012-08-11|202199023255557|801030792154157
1963|likes|2012-08-09|219791209299968|801030792154157
1973|likes|2012-08-09|215393162788910|801030792154157
1988|likes|2012-08-12|206597069766701|801030792154157
1999|likes|2012-08-13|208796093022238|801030792154157
2012|likes|2012-08-10|219791209300010|801030792154157
2024|likes|2012-08-07|224189255811104|801030792154157
2038|likes|2012-08-14|226388279066641|801030792154157
2058|likes|2012-08-12|204398046511148|801030792154157
2074|likes|2012-08-13|230786325577731|801030792154157
2085|likes|2012-08-12|232985348833319|801030792154157
2100|likes|2012-08-08|219791209299997|801030792154157
2116|likes|2012-08-12|224189255811121|801030792154157
2130|likes|2012-08-13|221990232555527|801030792154157
2145|likes|2012-08-09|215393162788877|801030792154157
2156|likes|2012-08-14|228587302322210|801030792154157
2169|likes|2012-08-09|215393162788899|801030792154157
2180|likes|2012-08-13|210995116277783|801030792154157
2188|likes|2012-08-07|228587302322196|801030792154157
2199|likes|2012-08-11|200000000000014|801030792154157
2210|likes|2012-08-09|224189255811081|801030792154157
2221|likes|2012-08-14|206597069766699|801030792154157
2231|likes|2012-08-12|200000000000027|801030792154157
2244|likes|2012-08-08|226388279066650|801030792154157
2257|likes|2012-08-08|226388279066632|801030792154157
2270|likes|2012-08-08|200000000000016|801030792154157
2282|likes|2012-08-08|219791209300009|801030792154157
2294|likes|2012-08-11|213194139533343|801030792154157
2309|likes|2012-08-07|200000000000047|801030792154157
2317|likes|2012-08-11|210995116277761|801030792154157
2330|likes|2012-09-07|219791209300010|801030792154189
2345|likes|2012-09-05|224189255811104|801030792154189
2357|likes|2012-02-24|226388279066650|800824633724036
2369|likes|2012-02-24|200000000000033|800824633724037
2383|likes|2012-02-21|210995116277782|800824633724037
2394|likes|2012-02-23|226388279066664|800824633724037
2408|likes|2012-02-24|202199023255573|800824633724037
2422|likes|2012-02-25|219791209299987|800824633724037
2431|likes|2012-02-27|221990232555526|800824633724037
2443|likes|2012-02-26|215393162788912|800824633724037
2460|likes|2012-02-27|202199023255557|800824633724037
2467|likes|2012-02-22|219791209299968|800824633724037
2480|likes|2012-02-27|215393162788910|800824633724037
2492|likes|2012-02-27|206597069766701|800824633724037
2502|likes|2012-02-22|208796093022238|800824633724037
2512|likes|2012-02-22|219791209300010|800824633724037
2526|likes|2012-02-26|224189255811104|800824633724037
2541|likes|2012-02-26|226388279066641|800824633724037
2563|likes|2012-02-25|204398046511148|800824633724037
2580|likes|2012-02-24|219791209299997|800824633724037
2591|likes|2012-02-27|224189255811121|800824633724037
2606|likes|2012-02-26|221990232555527|800824633724037
2619|likes|2012-02-27|215393162788877|800824633724037
2630|likes|2012-02-24|215393162788899|800824633724037
2647|likes|2012-02-25|210995116277783|800824633724037
2658|likes|2012-02-26|200000000000014|800824633724037
2679|likes|2012-02-23|224189255811081|800824633724037
2696|likes|2012-02-23|206597069766699|800824633724037
2712|likes|2012-02-22|200000000000027|800824633724037
2734|likes|2012-02-28|226388279066650|800824633724037
2757|likes|2012-02-22|226388279066632|800824633724037
