REL_ID:IGNORE|:TYPE|creationDate:Date|:START_ID|:END_ID
1|hasTag|2011-10-13|700687194767522|400000000000804
6|hasTag|2011-10-13|700687194767522|400000000001524
8|hasTag|2011-10-13|700687194767522|400000000002019
11|hasTag|2011-10-13|700687194767522|400000000003030
14|hasTag|2011-10-13|700687194767522|400000000003037
17|hasTag|2012-08-31|701030792151557|400000000000139
19|hasTag|2012-08-31|701030792151557|400000000001984
21|hasTag|2012-08-31|701030792151557|400000000003022
24|hasTag|2012-08-31|701030792151557|400000000005699
29|hasTag|2012-08-31|701030792151557|400000000006993
31|hasTag|2012-08-23|701030792151574|400000000000139
34|hasTag|2012-08-23|701030792151574|400000000003064
38|hasTag|2012-07-02|700962072674855|400000000000139
43|hasTag|2012-07-02|700962072674855|400000000002845
54|hasTag|2012-07-02|700962072674855|400000000002880
59|hasTag|2012-07-02|700962072674855|400000000003087
60|hasTag|2012-07-02|700962072674855|400000000006405
62|hasTag|2011-02-24|700412316861919|400000000000461
67|hasTag|2011-02-24|700412316861919|400000000002034
72|hasTag|2012-07-17|701030792152544|400000000000461
80|hasTag|2012-07-17|701030792152544|400000000005117
88|hasTag|2011-10-16|700687194768871|400000000001410
92|hasTag|2011-10-16|700687194768871|400000000002880
96|hasTag|2011-10-16|700687194768871|400000000002896
100|hasTag|2011-10-16|700687194768871|400000000005147
104|hasTag|2011-10-16|700687194768871|400000000005291
109|hasTag|2011-10-16|700687194768871|400000000006399
114|hasTag|2011-10-16|700687194768871|400000000009306
123|hasTag|2012-07-08|700962072675836|400000000000132
126|hasTag|2012-07-08|700962072675836|400000000003029
132|hasTag|2012-08-28|701030792152581|400000000000132
139|hasTag|2012-08-28|701030792152581|400000000000806
144|hasTag|2012-08-28|701030792152581|400000000001532
149|hasTag|2011-12-29|700755914245646|400000000000132
155|hasTag|2011-12-29|700755914245646|400000000000798
160|hasTag|2011-12-29|700755914245646|400000000002783
166|hasTag|2011-12-30|700755914245647|400000000000132
171|hasTag|2011-12-30|700755914245647|400000000000798
176|hasTag|2011-12-30|700755914245647|400000000002072
181|hasTag|2011-12-30|700755914245647|400000000002779
187|hasTag|2012-06-12|700962072675856|400000000000132
193|hasTag|2012-06-12|700962072675856|400000000000595
203|hasTag|2012-06-12|700962072675856|400000000003092
206|hasTag|2012-01-04|700755914245657|400000000001860
212|hasTag|2012-01-04|700755914245657|400000000006745
216|hasTag|2012-01-04|700755914245657|400000000007016
221|hasTag|2012-01-04|700755914245658|400000000001670
227|hasTag|2012-01-04|700755914245658|400000000001860
232|hasTag|2012-01-04|700755914245658|400000000004975
238|hasTag|2012-01-04|700755914245658|400000000005167
242|hasTag|2012-01-04|700755914245658|400000000006373
248|hasTag|2012-01-04|700755914245658|400000000007555
252|hasTag|2012-01-04|700755914245658|400000000009034
258|hasTag|2012-01-04|700755914245659|400000000001860
263|hasTag|2012-01-04|700755914245659|400000000002036
266|hasTag|2012-01-04|700755914245659|400000000007245
269|hasTag|2012-01-04|700755914245659|400000000007919
272|hasTag|2012-08-24|701030792152797|400000000000139
275|hasTag|2012-08-24|701030792152797|400000000001545
278|hasTag|2012-08-24|701030792152797|400000000002002
284|hasTag|2012-08-24|701030792152797|400000000005190
291|hasTag|2011-06-20|700549755815794|400000000001410
297|hasTag|2011-04-14|700481036339059|400000000001410
303|hasTag|2011-08-18|700618475292937|400000000000000
309|hasTag|2011-08-18|700618475292937|400000000002788
317|hasTag|2011-08-18|700618475292937|400000000003013
322|hasTag|2011-11-13|700755914246416|400000000000000
328|hasTag|2011-11-13|700755914246416|400000000007025
336|hasTag|2012-07-16|701030792153367|400000000000000
345|hasTag|2012-07-16|701030792153367|400000000002786
347|hasTag|2011-10-07|700687194769694|400000000001979
353|hasTag|2011-10-07|700687194769694|400000000002027
358|hasTag|2011-10-07|700687194769694|400000000005258
364|hasTag|2011-10-07|700687194769694|400000000007717
368|hasTag|2011-10-07|700687194769694|400000000008535
374|hasTag|2011-10-07|700687194769694|400000000008802
381|hasTag|2011-10-07|700687194769694|400000000009930
385|hasTag|2011-10-07|700687194769694|400000000014429
390|hasTag|2011-10-07|700687194769708|400000000001979
396|hasTag|2011-10-07|700687194769708|400000000002822
399|hasTag|2011-10-07|700687194769708|400000000006416
405|hasTag|2011-10-07|700687194769708|400000000007606
411|hasTag|2011-09-17|700687194769743|400000000000775
416|hasTag|2012-08-25|701030792153459|400000000000775
450|hasTag|2012-06-15|700962072676746|400000000000775
453|hasTag|2012-04-18|700893353200058|400000000000775
455|hasTag|2012-02-07|700824633723338|400000000000775
457|hasTag|2012-07-25|701030792153571|400000000000775
459|hasTag|2011-09-16|700687194769940|400000000000775
463|hasTag|2011-12-19|700755914246678|400000000000775
467|hasTag|2012-09-08|701030792153668|400000000000775
472|hasTag|2012-01-01|700755914246732|400000000000775
476|hasTag|2012-07-07|700962072676976|400000000001938
480|hasTag|2011-08-16|700618475293304|400000000001938
485|hasTag|2012-08-31|701030792153787|400000000001938
489|hasTag|2012-09-06|701030792153854|400000000001938
495|hasTag|2012-04-24|700893353200417|400000000001938
500|hasTag|2012-08-08|701030792154029|400000000001938
504|hasTag|2012-07-20|701030792154045|400000000001938
508|hasTag|2012-05-04|700893353200626|400000000001938
513|hasTag|2012-03-01|700824633723894|400000000001938
517|hasTag|2012-07-14|701030792154125|400000000001938
522|hasTag|2012-07-17|701030792154136|400000000001938
527|hasTag|2012-08-06|701030792154156|400000000001938
531|hasTag|2012-09-02|701030792154172|400000000001938
536|hasTag|2012-09-01|701030792154205|400000000001938
542|hasTag|2012-02-21|700824633724015|400000000001191
546|hasTag|2012-02-21|700824633724015|400000000001934
550|hasTag|2012-02-21|700824633724015|400000000006183
556|hasTag|2012-02-21|700824633724015|400000000008277
561|hasTag|2012-02-21|700824633724015|400000000011635
566|hasTag|2012-02-21|700824633724015|400000000011726
570|hasTag|2012-02-21|700824633724031|400000000001934
575|hasTag|2012-02-21|700824633724031|400000000006954
579|hasTag|2012-02-21|700824633724031|400000000009039
584|hasTag|2012-02-21|700824633724047|400000000001934
587|hasTag|2012-02-21|700824633724047|400000000002808
592|hasTag|2012-02-21|700824633724047|400000000005067
597|hasTag|2012-02-21|700824633724047|400000000009147
601|hasTag|2012-02-21|700824633724047|400000000010651
607|hasTag|2012-02-21|700824633724047|400000000011541
610|hasTag|2012-02-22|700824633724054|400000000001022
615|hasTag|2012-02-22|700824633724054|400000000001186
620|hasTag|2012-02-22|700824633724054|400000000001644
625|hasTag|2012-02-22|700824633724054|400000000001934
630|hasTag|2012-02-22|700824633724054|400000000002005
634|hasTag|2012-02-22|700824633724054|400000000002811
656|hasTag|2012-02-22|700824633724054|400000000005064
660|hasTag|2012-02-22|700824633724054|400000000005152
665|hasTag|2012-02-22|700824633724054|400000000011737
669|hasTag|2012-02-20|700824633724061|400000000001934
674|hasTag|2012-02-20|700824633724061|400000000002881
679|hasTag|2012-02-20|700824633724061|400000000002888
683|hasTag|2012-02-20|700824633724061|400000000002968
688|hasTag|2012-02-20|700824633724061|400000000002982
692|hasTag|2012-02-20|700824633724061|400000000003005
698|hasTag|2012-02-20|700824633724061|400000000006950
701|hasTag|2012-02-20|700824633724061|400000000014575
704|hasTag|2012-02-21|700824633724068|400000000001183
709|hasTag|2012-02-21|700824633724068|400000000001763
714|hasTag|2012-02-21|700824633724068|400000000001934
717|hasTag|2012-02-21|700824633724068|400000000005066
722|hasTag|2012-02-21|700824633724068|400000000012085
726|hasTag|2012-08-15|701030792154880|400000000000458
730|hasTag|2012-08-15|701030792154880|400000000002898
732|hasTag|2012-04-16|700893353201425|400000000000458
735|hasTag|2012-04-16|700893353201425|400000000002929
739|hasTag|2012-04-16|700893353201425|400000000008882
742|hasTag|2011-11-17|700755914247970|400000000000458
747|hasTag|2012-06-05|700962072678195|400000000000458
753|hasTag|2011-10-10|700687194771268|400000000000458
756|hasTag|2011-12-20|700755914248005|400000000001528
763|hasTag|2011-12-20|700755914248005|400000000002899
768|hasTag|2011-12-20|700755914248005|400000000007287
773|hasTag|2011-12-20|700755914248005|400000000009043
777|hasTag|2011-12-20|700755914248005|400000000011165
782|hasTag|2011-12-20|700755914248005|400000000011642
786|hasTag|2011-12-20|700755914248005|400000000012030
791|hasTag|2011-12-18|700755914248015|400000000000975
795|hasTag|2011-12-18|700755914248015|400000000001528
800|hasTag|2011-12-18|700755914248015|400000000008718
804|hasTag|2011-12-18|700755914248015|400000000008962
809|hasTag|2011-12-18|700755914248015|400000000009036
811|hasTag|2011-12-19|700755914248025|400000000001528
817|hasTag|2011-12-19|700755914248025|400000000006942
820|hasTag|2011-12-20|700755914248035|400000000001528
825|hasTag|2011-12-20|700755914248035|400000000002027
828|hasTag|2011-12-20|700755914248035|400000000002823
833|hasTag|2011-12-20|700755914248035|400000000006374
837|hasTag|2011-12-20|700755914248035|400000000006797
899|hasTag|2011-12-20|700755914248035|400000000006931
903|hasTag|2011-12-20|700755914248035|400000000008705
907|hasTag|2011-12-20|700755914248045|400000000000006
911|hasTag|2011-12-20|700755914248045|400000000001528
914|hasTag|2011-12-20|700755914248045|400000000005062
919|hasTag|2011-12-19|700755914248055|400000000000573
923|hasTag|2011-12-19|700755914248055|400000000000576
927|hasTag|2011-12-19|700755914248055|400000000001528
932|hasTag|2011-12-19|700755914248055|400000000003023
936|hasTag|2011-12-19|700755914248055|400000000003100
940|hasTag|2011-12-19|700755914248055|400000000006412
944|hasTag|2011-12-19|700755914248055|400000000007479
948|hasTag|2011-12-19|700755914248055|400000000011876
952|hasTag|2011-10-06|700687194771473|400000000000540
958|hasTag|2011-10-06|700687194771473|400000000007606
962|hasTag|2011-10-06|700687194771473|400000000009154
966|hasTag|2012-01-03|700755914248210|400000000001860
970|hasTag|2012-01-03|700755914248210|400000000002880
974|hasTag|2012-01-03|700755914248210|400000000006210
977|hasTag|2012-01-03|700755914248210|400000000007625
982|hasTag|2012-01-03|700755914248210|400000000009072
987|hasTag|2012-04-14|700893353201829|400000000001410
990|hasTag|2011-10-01|700687194771641|400000000001410
996|hasTag|2012-06-03|700962072678586|400000000000293
1001|hasTag|2012-06-03|700962072678586|400000000001526
1005|hasTag|2012-06-03|700962072678586|400000000002986
1010|hasTag|2012-06-03|700962072678586|400000000010193
1015|hasTag|2012-06-03|700962072678587|400000000001183
1020|hasTag|2012-06-03|700962072678587|400000000001526
1024|hasTag|2012-06-03|700962072678587|400000000005140
1029|hasTag|2012-06-03|700962072678587|400000000010163
1033|hasTag|2012-06-03|700962072678587|400000000010838
1036|hasTag|2012-06-03|700962072678587|400000000013570
1041|hasTag|2012-05-22|700962072678931|400000000000410
1044|hasTag|2012-08-07|701030792155695|400000000000410
1047|hasTag|2012-04-24|700893353202291|400000000000410
1051|hasTag|2012-08-08|701030792155777|400000000000410
1057|hasTag|2012-08-08|701030792155817|400000000000410
1061|hasTag|2012-07-17|701030792155987|400000000000410
1065|hasTag|2012-02-07|700824633725951|400000000000410
1070|hasTag|2012-03-04|700824633725961|400000000000410
1073|hasTag|2012-05-14|700962072679509|400000000000410
1086|hasTag|2012-08-23|701030792156323|400000000000410
1090|hasTag|2012-08-28|701030792156399|400000000000410
